Date,CLBK
2018-04-23,15.449999809265137
2018-04-24,15.729999542236328
2018-04-25,15.5600004196167
2018-04-26,15.720000267028809
2018-04-27,15.680000305175781
2018-04-30,15.5
2018-05-01,15.529999732971191
2018-05-02,15.550000190734863
2018-05-03,15.550000190734863
2018-05-04,15.5
2018-05-07,15.579999923706055
2018-05-08,15.619999885559082
2018-05-09,15.649999618530273
2018-05-10,15.6899995803833
2018-05-11,15.979999542236328
2018-05-14,16.190000534057617
2018-05-15,16.6299991607666
2018-05-16,16.940000534057617
2018-05-17,17.1200008392334
2018-05-18,17.239999771118164
2018-05-21,17.5
2018-05-22,17.600000381469727
2018-05-23,17.540000915527344
2018-05-24,17.110000610351562
2018-05-25,16.780000686645508
2018-05-29,16.59000015258789
2018-05-30,16.8799991607666
2018-05-31,16.979999542236328
2018-06-01,17.06999969482422
2018-06-04,17.239999771118164
2018-06-05,17.06999969482422
2018-06-06,17.219999313354492
2018-06-07,17.149999618530273
2018-06-08,17.260000228881836
2018-06-11,17.3700008392334
2018-06-12,17.309999465942383
2018-06-13,17.43000030517578
2018-06-14,17.420000076293945
2018-06-15,17.34000015258789
2018-06-18,17.440000534057617
2018-06-19,17.350000381469727
2018-06-20,17.309999465942383
2018-06-21,17.280000686645508
2018-06-22,17.209999084472656
2018-06-25,17.290000915527344
2018-06-26,17.170000076293945
2018-06-27,16.850000381469727
2018-06-28,16.260000228881836
2018-06-29,16.549999237060547
2018-07-02,16.399999618530273
2018-07-03,16.1200008392334
2018-07-05,16.229999542236328
2018-07-06,16.149999618530273
2018-07-09,16.299999237060547
2018-07-10,16.219999313354492
2018-07-11,16.100000381469727
2018-07-12,16.209999084472656
2018-07-13,16.18000030517578
2018-07-16,16.399999618530273
2018-07-17,16.299999237060547
2018-07-18,16.34000015258789
2018-07-19,16.5
2018-07-20,16.540000915527344
2018-07-23,16.649999618530273
2018-07-24,16.6200008392334
2018-07-25,16.739999771118164
2018-07-26,16.81999969482422
2018-07-27,16.68000030517578
2018-07-30,16.549999237060547
2018-07-31,16.790000915527344
2018-08-01,16.8799991607666
2018-08-02,16.899999618530273
2018-08-03,16.639999389648438
2018-08-06,16.84000015258789
2018-08-07,16.84000015258789
2018-08-08,16.889999389648438
