Date,TEM
2024-06-14,40.25
2024-06-17,36.47999954223633
2024-06-18,30.329999923706055
2024-06-20,27.260000228881836
2024-06-21,28.639999389648438
2024-06-24,25.309999465942383
2024-06-25,24.959999084472656
2024-06-26,27.559999465942383
2024-06-27,30.829999923706055
2024-06-28,35.0
2024-07-01,33.34000015258789
2024-07-02,35.97999954223633
2024-07-03,34.38999938964844
2024-07-05,30.8799991607666
2024-07-08,33.20000076293945
2024-07-09,34.5
2024-07-10,35.0
2024-07-11,37.5
2024-07-12,39.7599983215332
2024-07-15,36.599998474121094
2024-07-16,40.7400016784668
2024-07-17,39.849998474121094
2024-07-18,40.13999938964844
2024-07-19,41.400001525878906
2024-07-22,42.97999954223633
2024-07-23,40.70000076293945
2024-07-24,38.04999923706055
2024-07-25,40.02000045776367
2024-07-26,41.91999816894531
2024-07-29,43.869998931884766
2024-07-30,45.970001220703125
2024-07-31,43.279998779296875
2024-08-01,39.279998779296875
2024-08-02,39.04499816894531
2024-08-05,38.220001220703125
2024-08-06,40.650001525878906
2024-08-07,38.81999969482422
2024-08-08,38.93000030517578
2024-08-09,38.75
2024-08-12,38.68000030517578
2024-08-13,42.650001525878906
2024-08-14,42.900001525878906
2024-08-15,47.20000076293945
2024-08-16,50.880001068115234
2024-08-19,57.61000061035156
2024-08-20,58.709999084472656
2024-08-21,71.47000122070312
2024-08-22,64.52999877929688
2024-08-23,64.94999694824219
2024-08-26,60.5099983215332
2024-08-27,68.47000122070312
2024-08-28,59.22999954223633
2024-08-29,57.90999984741211
2024-08-30,59.380001068115234
2024-09-03,52.09000015258789
2024-09-04,53.73500061035156
2024-09-05,55.630001068115234
2024-09-06,50.189998626708984
2024-09-09,47.27000045776367
2024-09-10,45.04999923706055
2024-09-11,46.4900016784668
2024-09-12,45.45000076293945
2024-09-13,49.380001068115234
2024-09-16,54.66999816894531
2024-09-17,49.22999954223633
2024-09-18,51.310001373291016
2024-09-19,50.09000015258789
2024-09-20,54.43000030517578
2024-09-23,55.36000061035156
2024-09-24,51.220001220703125
2024-09-25,49.150001525878906
2024-09-26,51.869998931884766
2024-09-27,53.84000015258789
2024-09-30,56.599998474121094
2024-10-01,53.06999969482422
2024-10-02,51.25
2024-10-03,48.959999084472656
2024-10-04,52.939998626708984
2024-10-07,50.54999923706055
2024-10-08,48.08000183105469
2024-10-09,48.33000183105469
2024-10-10,45.97999954223633
2024-10-11,48.81999969482422
2024-10-14,50.720001220703125
2024-10-15,46.630001068115234
2024-10-16,49.04999923706055
2024-10-17,48.0099983215332
2024-10-18,49.34000015258789
2024-10-21,48.68000030517578
2024-10-22,46.529998779296875
2024-10-23,45.40999984741211
2024-10-24,46.209999084472656
2024-10-25,43.5099983215332
2024-10-28,43.34000015258789
2024-10-29,45.220001220703125
2024-10-30,45.5099983215332
2024-10-31,44.619998931884766
2024-11-01,46.060001373291016
2024-11-04,49.5
2024-11-05,44.5
2024-11-06,56.970001220703125
2024-11-07,56.790000915527344
2024-11-08,73.7699966430664
2024-11-11,77.62000274658203
2024-11-12,68.04000091552734
2024-11-13,68.08000183105469
2024-11-14,56.630001068115234
2024-11-15,52.400001525878906
2024-11-18,54.060001373291016
2024-11-19,53.970001220703125
2024-11-20,58.150001525878906
2024-11-21,52.47999954223633
2024-11-22,58.599998474121094
2024-11-25,63.88999938964844
2024-11-26,58.8650016784668
2024-11-27,62.97999954223633
2024-11-29,62.59000015258789
2024-12-02,62.939998626708984
2024-12-03,56.290000915527344
2024-12-04,57.9900016784668
2024-12-05,53.15999984741211
2024-12-06,50.439998626708984
2024-12-09,46.5
2024-12-10,45.0
2024-12-11,43.189998626708984
2024-12-12,41.9900016784668
2024-12-13,41.0
2024-12-16,39.880001068115234
2024-12-17,38.95000076293945
2024-12-18,34.29499816894531
2024-12-19,33.029998779296875
2024-12-20,35.540000915527344
2024-12-23,34.90999984741211
2024-12-24,34.790000915527344
2024-12-26,35.290000915527344
2024-12-27,35.119998931884766
2024-12-30,33.869998931884766
2024-12-31,33.7599983215332
2025-01-02,34.25
2025-01-03,38.25
2025-01-06,40.7599983215332
2025-01-07,38.875
2025-01-08,37.4900016784668
2025-01-10,37.52000045776367
2025-01-13,32.34000015258789
2025-01-14,31.829999923706055
2025-01-15,34.91999816894531
2025-01-16,34.75
2025-01-17,35.150001525878906
2025-01-21,47.63999938964844
2025-01-22,50.45000076293945
2025-01-23,54.84000015258789
2025-01-24,51.400001525878906
2025-01-27,51.86000061035156
2025-01-28,51.02000045776367
2025-01-29,50.77000045776367
2025-01-30,57.189998626708984
2025-01-31,57.38999938964844
2025-02-03,61.540000915527344
2025-02-04,61.849998474121094
2025-02-05,69.18000030517578
2025-02-06,64.98999786376953
2025-02-07,68.95999908447266
2025-02-10,68.36000061035156
2025-02-11,71.20999908447266
2025-02-12,73.87999725341797
2025-02-13,83.75
2025-02-14,89.44000244140625
2025-02-18,81.94999694824219
2025-02-19,85.70999908447266
2025-02-20,76.72000122070312
2025-02-21,68.08999633789062
2025-02-24,69.56999969482422
2025-02-25,59.099998474121094
2025-02-26,62.2599983215332
2025-02-27,55.29999923706055
2025-02-28,56.18000030517578
2025-03-03,50.93000030517578
2025-03-04,52.72999954223633
2025-03-05,53.060001373291016
2025-03-06,48.86000061035156
2025-03-07,49.099998474121094
2025-03-10,45.16999816894531
2025-03-11,45.58000183105469
2025-03-12,45.5
2025-03-13,42.165000915527344
2025-03-14,47.16999816894531
2025-03-17,49.869998931884766
2025-03-18,45.7400016784668
2025-03-19,48.029998779296875
2025-03-20,48.040000915527344
2025-03-21,51.349998474121094
2025-03-24,59.0
2025-03-25,58.56999969482422
2025-03-26,53.25
2025-03-27,51.970001220703125
2025-03-28,47.83000183105469
2025-03-31,48.2400016784668
2025-04-01,47.220001220703125
2025-04-02,49.88999938964844
2025-04-03,46.16999816894531
2025-04-04,42.58000183105469
2025-04-07,42.70000076293945
2025-04-08,37.22999954223633
2025-04-09,43.790000915527344
2025-04-10,40.290000915527344
2025-04-11,42.119998931884766
2025-04-14,43.130001068115234
2025-04-15,42.93000030517578
2025-04-16,40.86000061035156
2025-04-17,40.45000076293945
2025-04-21,40.97999954223633
