Date,ARQT
2020-01-31,21.799999237060547
2020-02-03,25.1299991607666
2020-02-04,25.639999389648438
2020-02-05,25.229999542236328
2020-02-06,24.739999771118164
2020-02-07,26.389999389648438
2020-02-10,26.5
2020-02-11,26.239999771118164
2020-02-12,25.75
2020-02-13,26.329999923706055
2020-02-14,25.510000228881836
2020-02-18,25.5
2020-02-19,26.59000015258789
2020-02-20,26.899999618530273
2020-02-21,27.049999237060547
2020-02-24,27.610000610351562
2020-02-25,26.329999923706055
2020-02-26,28.540000915527344
2020-02-27,27.610000610351562
2020-02-28,26.575000762939453
2020-03-02,27.399999618530273
2020-03-03,27.469999313354492
2020-03-04,27.709999084472656
2020-03-05,27.639999389648438
2020-03-06,28.25
2020-03-09,28.360000610351562
2020-03-10,30.530000686645508
2020-03-11,25.0
2020-03-12,22.31999969482422
2020-03-13,22.65999984741211
2020-03-16,18.979999542236328
2020-03-17,19.1200008392334
2020-03-18,18.5
2020-03-19,25.229999542236328
2020-03-20,33.31999969482422
2020-03-23,36.900001525878906
2020-03-24,36.720001220703125
2020-03-25,32.560001373291016
2020-03-26,31.0
2020-03-27,27.350000381469727
2020-03-30,29.700000762939453
2020-03-31,29.799999237060547
2020-04-01,25.81999969482422
2020-04-02,25.84000015258789
2020-04-03,25.350000381469727
2020-04-06,28.350000381469727
2020-04-07,28.5
2020-04-08,27.170000076293945
2020-04-09,31.950000762939453
2020-04-13,31.43000030517578
2020-04-14,30.93000030517578
2020-04-15,25.299999237060547
2020-04-16,26.610000610351562
2020-04-17,27.280000686645508
2020-04-20,27.399999618530273
2020-04-21,28.31999969482422
2020-04-22,28.719999313354492
2020-04-23,27.18000030517578
2020-04-24,29.610000610351562
2020-04-27,29.780000686645508
2020-04-28,28.969999313354492
2020-04-29,29.600000381469727
2020-04-30,29.719999313354492
2020-05-01,26.0
2020-05-04,25.670000076293945
2020-05-05,25.59000015258789
2020-05-06,25.200000762939453
2020-05-07,24.479999542236328
2020-05-08,24.5
2020-05-11,26.799999237060547
2020-05-12,24.700000762939453
2020-05-13,26.809999465942383
2020-05-14,25.440000534057617
2020-05-15,25.559999465942383
2020-05-18,28.969999313354492
2020-05-19,26.489999771118164
2020-05-20,29.209999084472656
2020-05-21,29.360000610351562
2020-05-22,29.579999923706055
2020-05-26,29.950000762939453
2020-05-27,30.200000762939453
2020-05-28,29.979999542236328
2020-05-29,33.54999923706055
2020-06-01,33.9900016784668
2020-06-02,31.34000015258789
2020-06-03,33.529998779296875
2020-06-04,30.5
2020-06-05,31.43000030517578
2020-06-08,29.350000381469727
2020-06-09,28.010000228881836
2020-06-10,28.5
2020-06-11,25.55500030517578
2020-06-12,25.530000686645508
2020-06-15,29.459999084472656
2020-06-16,29.270000457763672
2020-06-17,28.989999771118164
2020-06-18,29.65999984741211
2020-06-19,33.79999923706055
2020-06-22,36.560001373291016
2020-06-23,32.5
2020-06-24,32.400001525878906
2020-06-25,32.709999084472656
2020-06-26,32.470001220703125
2020-06-29,33.0099983215332
2020-06-30,30.239999771118164
2020-07-01,31.829999923706055
2020-07-02,32.0099983215332
2020-07-06,32.279998779296875
2020-07-07,32.0
2020-07-08,31.200000762939453
2020-07-09,29.059999465942383
2020-07-10,29.09000015258789
2020-07-13,27.56999969482422
2020-07-14,28.290000915527344
2020-07-15,28.940000534057617
2020-07-16,27.8799991607666
2020-07-17,29.0
2020-07-20,29.059999465942383
2020-07-21,28.440000534057617
2020-07-22,27.700000762939453
2020-07-23,27.600000381469727
2020-07-24,27.280000686645508
2020-07-27,27.969999313354492
2020-07-28,28.190000534057617
2020-07-29,27.559999465942383
2020-07-30,27.6200008392334
2020-07-31,26.700000762939453
2020-08-03,25.889999389648438
2020-08-04,24.969999313354492
2020-08-05,24.549999237060547
2020-08-06,24.280000686645508
2020-08-07,24.219999313354492
2020-08-10,25.700000762939453
2020-08-11,24.65999984741211
2020-08-12,26.1299991607666
2020-08-13,25.9950008392334
2020-08-14,26.15999984741211
2020-08-17,26.219999313354492
2020-08-18,26.520000457763672
2020-08-19,26.93000030517578
2020-08-20,27.5
2020-08-21,28.200000762939453
2020-08-24,25.239999771118164
2020-08-25,24.959999084472656
2020-08-26,24.65999984741211
2020-08-27,24.040000915527344
2020-08-28,24.600000381469727
2020-08-31,25.06999969482422
2020-09-01,24.799999237060547
2020-09-02,25.389999389648438
2020-09-03,24.799999237060547
2020-09-04,24.399999618530273
2020-09-08,24.190000534057617
2020-09-09,23.8799991607666
2020-09-10,24.040000915527344
2020-09-11,23.440000534057617
2020-09-14,24.3700008392334
2020-09-15,25.079999923706055
2020-09-16,25.690000534057617
2020-09-17,27.219999313354492
2020-09-18,26.34000015258789
2020-09-21,25.649999618530273
2020-09-22,25.280000686645508
2020-09-23,24.739999771118164
2020-09-24,24.649999618530273
2020-09-25,25.059999465942383
2020-09-28,26.760000228881836
2020-09-29,31.040000915527344
2020-09-30,29.299999237060547
2020-10-01,27.6200008392334
2020-10-02,23.299999237060547
2020-10-05,23.639999389648438
2020-10-06,23.75
2020-10-07,24.3799991607666
2020-10-08,24.34000015258789
2020-10-09,24.139999389648438
2020-10-12,23.625
2020-10-13,24.420000076293945
2020-10-14,24.18000030517578
2020-10-15,23.959999084472656
2020-10-16,23.989999771118164
2020-10-19,24.0
2020-10-20,23.690000534057617
2020-10-21,23.09000015258789
2020-10-22,22.75
2020-10-23,23.040000915527344
2020-10-26,20.920000076293945
2020-10-27,21.25
2020-10-28,20.1299991607666
2020-10-29,20.040000915527344
2020-10-30,17.81999969482422
2020-11-02,18.719999313354492
2020-11-03,18.190000534057617
2020-11-04,18.969999313354492
2020-11-05,18.65999984741211
2020-11-06,18.25
2020-11-09,20.780000686645508
2020-11-10,20.649999618530273
2020-11-11,20.950000762939453
2020-11-12,20.829999923706055
2020-11-13,21.170000076293945
2020-11-16,21.40999984741211
2020-11-17,20.84000015258789
2020-11-18,20.920000076293945
2020-11-19,21.389999389648438
2020-11-20,23.1200008392334
2020-11-23,25.18000030517578
2020-11-24,25.510000228881836
2020-11-25,25.6200008392334
2020-11-27,25.940000534057617
2020-11-30,27.1200008392334
2020-12-01,24.84000015258789
2020-12-02,25.75
2020-12-03,26.649999618530273
2020-12-04,26.010000228881836
2020-12-07,26.510000228881836
2020-12-08,26.40999984741211
2020-12-09,28.190000534057617
2020-12-10,29.049999237060547
2020-12-11,28.850000381469727
2020-12-14,29.15999984741211
2020-12-15,29.649999618530273
2020-12-16,31.34000015258789
2020-12-17,31.729999542236328
2020-12-18,28.899999618530273
2020-12-21,28.950000762939453
2020-12-22,30.0
2020-12-23,28.149999618530273
2020-12-24,29.610000610351562
2020-12-28,29.25
2020-12-29,28.8799991607666
2020-12-30,29.299999237060547
2020-12-31,28.1299991607666
2021-01-04,28.440000534057617
2021-01-05,28.030000686645508
2021-01-06,28.700000762939453
2021-01-07,28.780000686645508
2021-01-08,28.15999984741211
2021-01-11,27.790000915527344
2021-01-12,27.31999969482422
2021-01-13,27.139999389648438
2021-01-14,28.489999771118164
2021-01-15,28.6299991607666
2021-01-19,28.719999313354492
2021-01-20,28.209999084472656
2021-01-21,27.219999313354492
2021-01-22,26.809999465942383
2021-01-25,27.170000076293945
2021-01-26,26.510000228881836
2021-01-27,24.469999313354492
2021-01-28,26.059999465942383
2021-01-29,27.290000915527344
2021-02-01,35.58000183105469
2021-02-02,36.099998474121094
2021-02-03,34.630001068115234
2021-02-04,34.900001525878906
2021-02-05,35.040000915527344
2021-02-08,36.97999954223633
2021-02-09,36.040000915527344
2021-02-10,36.13999938964844
2021-02-11,34.810001373291016
2021-02-12,35.08000183105469
2021-02-16,33.689998626708984
