Date,CHRS
2014-11-06,12.609999656677246
2014-11-07,15.100000381469727
2014-11-10,15.260000228881836
2014-11-11,14.949999809265137
2014-11-12,14.420000076293945
2014-11-13,13.899999618530273
2014-11-14,13.920000076293945
2014-11-17,13.149999618530273
2014-11-18,13.15999984741211
2014-11-19,13.15999984741211
2014-11-20,13.0
2014-11-21,13.050000190734863
2014-11-24,13.40999984741211
2014-11-25,13.75
2014-11-26,13.59000015258789
2014-11-28,13.729999542236328
2014-12-01,13.369999885559082
2014-12-02,14.140000343322754
2014-12-03,14.25
2014-12-04,14.180000305175781
2014-12-05,14.369999885559082
2014-12-08,14.34000015258789
2014-12-09,15.1899995803833
2014-12-10,14.970000267028809
2014-12-11,14.520000457763672
2014-12-12,14.119999885559082
2014-12-15,13.779999732971191
2014-12-16,13.630000114440918
2014-12-17,13.039999961853027
2014-12-18,13.149999618530273
2014-12-19,12.760000228881836
2014-12-22,12.819999694824219
2014-12-23,14.0600004196167
2014-12-24,14.850000381469727
2014-12-26,15.680000305175781
2014-12-29,16.360000610351562
2014-12-30,16.030000686645508
2014-12-31,16.31999969482422
2015-01-02,15.819999694824219
2015-01-05,16.059999465942383
2015-01-06,16.84000015258789
2015-01-07,19.790000915527344
2015-01-08,21.31999969482422
2015-01-09,22.239999771118164
2015-01-12,21.3799991607666
2015-01-13,22.440000534057617
2015-01-14,22.780000686645508
2015-01-15,20.989999771118164
2015-01-16,20.600000381469727
2015-01-20,21.079999923706055
2015-01-21,20.440000534057617
2015-01-22,20.860000610351562
2015-01-23,20.170000076293945
2015-01-26,22.139999389648438
2015-01-27,22.260000228881836
2015-01-28,22.190000534057617
2015-01-29,23.0
2015-01-30,22.440000534057617
2015-02-02,22.489999771118164
2015-02-03,21.90999984741211
2015-02-04,21.649999618530273
2015-02-05,24.389999389648438
2015-02-06,28.65999984741211
2015-02-09,32.36000061035156
2015-02-10,29.360000610351562
2015-02-11,27.459999084472656
2015-02-12,27.81999969482422
2015-02-13,27.110000610351562
2015-02-17,26.579999923706055
2015-02-18,27.989999771118164
2015-02-19,27.389999389648438
2015-02-20,27.450000762939453
2015-02-23,28.110000610351562
2015-02-24,29.860000610351562
2015-02-25,32.15999984741211
2015-02-26,32.70000076293945
2015-02-27,31.59000015258789
2015-03-02,32.849998474121094
2015-03-03,31.770000457763672
2015-03-04,32.619998931884766
2015-03-05,29.709999084472656
2015-03-06,27.479999542236328
2015-03-09,26.979999542236328
2015-03-10,27.84000015258789
2015-03-11,27.479999542236328
2015-03-12,28.020000457763672
2015-03-13,28.959999084472656
2015-03-16,29.90999984741211
2015-03-17,30.770000457763672
2015-03-18,31.790000915527344
2015-03-19,28.729999542236328
2015-03-20,26.459999084472656
2015-03-23,25.600000381469727
2015-03-24,27.18000030517578
2015-03-25,24.549999237060547
2015-03-26,26.969999313354492
2015-03-27,28.40999984741211
2015-03-30,30.020000457763672
2015-03-31,30.579999923706055
2015-04-01,27.280000686645508
2015-04-02,28.049999237060547
2015-04-06,27.420000076293945
2015-04-07,27.010000228881836
2015-04-08,26.5
2015-04-09,27.270000457763672
2015-04-10,26.049999237060547
2015-04-13,23.760000228881836
2015-04-14,27.079999923706055
2015-04-15,26.530000686645508
2015-04-16,26.0
2015-04-17,25.440000534057617
2015-04-20,26.25
2015-04-21,25.68000030517578
2015-04-22,24.790000915527344
2015-04-23,24.399999618530273
2015-04-24,23.520000457763672
2015-04-27,22.739999771118164
2015-04-28,21.700000762939453
2015-04-29,22.649999618530273
2015-04-30,21.770000457763672
2015-05-01,23.6200008392334
2015-05-04,23.549999237060547
2015-05-05,22.149999618530273
2015-05-06,21.950000762939453
2015-05-07,21.440000534057617
2015-05-08,21.06999969482422
2015-05-11,21.079999923706055
2015-05-12,21.100000381469727
2015-05-13,21.229999542236328
2015-05-14,22.6299991607666
2015-05-15,24.049999237060547
2015-05-18,24.59000015258789
2015-05-19,25.299999237060547
2015-05-20,25.190000534057617
2015-05-21,25.260000228881836
2015-05-22,24.979999542236328
2015-05-26,25.110000610351562
2015-05-27,25.34000015258789
2015-05-28,24.969999313354492
2015-05-29,24.56999969482422
