Date,ANNX
2020-07-24,17.760000228881836
2020-07-27,17.5
2020-07-28,17.989999771118164
2020-07-29,18.760000228881836
2020-07-30,18.40999984741211
2020-07-31,18.229999542236328
2020-08-03,19.850000381469727
2020-08-04,19.229999542236328
2020-08-05,21.829999923706055
2020-08-06,21.170000076293945
2020-08-07,21.739999771118164
2020-08-10,22.020000457763672
2020-08-11,23.940000534057617
2020-08-12,28.6299991607666
2020-08-13,27.610000610351562
2020-08-14,26.170000076293945
2020-08-17,26.549999237060547
2020-08-18,26.829999923706055
2020-08-19,25.860000610351562
2020-08-20,24.610000610351562
2020-08-21,24.600000381469727
2020-08-24,23.860000610351562
2020-08-25,23.489999771118164
2020-08-26,23.1200008392334
2020-08-27,23.8700008392334
2020-08-28,24.270000457763672
2020-08-31,24.670000076293945
2020-09-01,24.3700008392334
2020-09-02,26.389999389648438
2020-09-03,26.219999313354492
2020-09-04,25.09000015258789
2020-09-08,26.059999465942383
2020-09-09,26.739999771118164
2020-09-10,25.510000228881836
2020-09-11,24.799999237060547
2020-09-14,23.09000015258789
2020-09-15,23.020000457763672
2020-09-16,22.469999313354492
2020-09-17,21.290000915527344
2020-09-18,22.5
2020-09-21,22.020000457763672
2020-09-22,22.18000030517578
2020-09-23,23.0
2020-09-24,22.969999313354492
2020-09-25,23.0
2020-09-28,24.549999237060547
2020-09-29,28.049999237060547
2020-09-30,30.229999542236328
2020-10-01,28.93000030517578
2020-10-02,26.969999313354492
2020-10-05,27.75
2020-10-06,27.309999465942383
2020-10-07,27.0
2020-10-08,27.329999923706055
2020-10-09,27.8799991607666
2020-10-12,29.110000610351562
2020-10-13,29.399999618530273
2020-10-14,28.799999237060547
2020-10-15,29.15999984741211
2020-10-16,30.31999969482422
2020-10-19,30.040000915527344
2020-10-20,27.709999084472656
2020-10-21,26.229999542236328
2020-10-22,24.59000015258789
2020-10-23,24.440000534057617
2020-10-26,24.969999313354492
2020-10-27,24.510000228881836
2020-10-28,23.780000686645508
2020-10-29,21.690000534057617
2020-10-30,20.809999465942383
2020-11-02,23.010000228881836
2020-11-03,23.270000457763672
2020-11-04,23.860000610351562
2020-11-05,24.079999923706055
2020-11-06,23.40999984741211
2020-11-09,22.719999313354492
2020-11-10,22.670000076293945
2020-11-11,23.040000915527344
2020-11-12,22.989999771118164
2020-11-13,22.860000610351562
2020-11-16,22.6299991607666
2020-11-17,23.670000076293945
2020-11-18,23.729999542236328
2020-11-19,24.93000030517578
2020-11-20,24.950000762939453
2020-11-23,25.010000228881836
2020-11-24,24.989999771118164
2020-11-25,24.6299991607666
2020-11-27,25.1299991607666
2020-11-30,24.200000762939453
2020-12-01,24.889999389648438
2020-12-02,25.030000686645508
2020-12-03,24.8799991607666
2020-12-04,25.149999618530273
2020-12-07,25.020000457763672
2020-12-08,24.979999542236328
