Date,ETNB
2019-11-11,20.799999237060547
2019-11-12,19.75
2019-11-13,20.5
2019-11-14,23.139999389648438
2019-11-15,27.0
2019-11-18,28.270000457763672
2019-11-19,29.989999771118164
2019-11-20,28.8700008392334
2019-11-21,30.700000762939453
2019-11-22,29.93000030517578
2019-11-25,30.670000076293945
2019-11-26,33.439998626708984
2019-11-27,30.1200008392334
2019-11-29,31.270000457763672
2019-12-02,30.170000076293945
2019-12-03,29.799999237060547
2019-12-04,28.0
2019-12-05,27.5
2019-12-06,28.600000381469727
2019-12-09,27.280000686645508
2019-12-10,27.139999389648438
2019-12-11,28.829999923706055
2019-12-12,29.84000015258789
2019-12-13,31.690000534057617
2019-12-16,29.770000457763672
2019-12-17,30.020000457763672
2019-12-18,28.59000015258789
2019-12-19,25.969999313354492
2019-12-20,25.684999465942383
2019-12-23,26.8799991607666
2019-12-24,28.579999923706055
2019-12-26,27.110000610351562
2019-12-27,24.649999618530273
2019-12-30,27.110000610351562
2019-12-31,26.290000915527344
2020-01-02,25.100000381469727
2020-01-03,26.829999923706055
2020-01-06,27.1299991607666
2020-01-07,27.1200008392334
2020-01-08,25.760000228881836
2020-01-09,25.6200008392334
2020-01-10,26.600000381469727
2020-01-13,27.350000381469727
2020-01-14,27.31999969482422
2020-01-15,26.600000381469727
2020-01-16,25.610000610351562
2020-01-17,26.510000228881836
2020-01-21,27.600000381469727
2020-01-22,28.209999084472656
2020-01-23,27.920000076293945
2020-01-24,26.149999618530273
2020-01-27,27.18000030517578
2020-01-28,27.34000015258789
2020-01-29,33.65999984741211
2020-01-30,30.3700008392334
2020-01-31,26.719999313354492
2020-02-03,25.899999618530273
2020-02-04,26.899999618530273
2020-02-05,26.360000610351562
2020-02-06,27.530000686645508
2020-02-07,25.989999771118164
2020-02-10,26.790000915527344
2020-02-11,28.600000381469727
2020-02-12,29.299999237060547
2020-02-13,31.049999237060547
2020-02-14,32.5
2020-02-18,35.959999084472656
2020-02-19,36.88999938964844
2020-02-20,35.5099983215332
2020-02-21,33.65999984741211
2020-02-24,36.25
2020-02-25,37.4900016784668
2020-02-26,34.220001220703125
2020-02-27,33.54999923706055
2020-02-28,35.66999816894531
2020-03-02,41.77000045776367
2020-03-03,40.77000045776367
2020-03-04,39.9900016784668
2020-03-05,37.08000183105469
2020-03-06,38.20000076293945
2020-03-09,37.20000076293945
2020-03-10,34.599998474121094
2020-03-11,33.54999923706055
2020-03-12,21.049999237060547
2020-03-13,23.020000457763672
2020-03-16,16.399999618530273
2020-03-17,17.100000381469727
2020-03-18,17.350000381469727
2020-03-19,19.6299991607666
2020-03-20,23.540000915527344
2020-03-23,25.93000030517578
2020-03-24,27.649999618530273
2020-03-25,28.950000762939453
2020-03-26,30.0
2020-03-27,32.11000061035156
2020-03-30,28.6299991607666
2020-03-31,25.25
2020-04-01,23.200000762939453
2020-04-02,24.09000015258789
2020-04-03,21.399999618530273
2020-04-06,22.059999465942383
2020-04-07,21.139999389648438
2020-04-08,20.690000534057617
2020-04-09,20.760000228881836
2020-04-13,20.959999084472656
2020-04-14,23.049999237060547
2020-04-15,22.600000381469727
2020-04-16,22.459999084472656
2020-04-17,22.43000030517578
2020-04-20,24.56999969482422
2020-04-21,23.75
2020-04-22,24.440000534057617
2020-04-23,23.5
2020-04-24,26.049999237060547
2020-04-27,27.18000030517578
2020-04-28,24.790000915527344
2020-04-29,25.979999542236328
2020-04-30,23.510000228881836
2020-05-01,23.649999618530273
2020-05-04,24.850000381469727
2020-05-05,24.75
2020-05-06,23.389999389648438
2020-05-07,24.8799991607666
2020-05-08,31.200000762939453
2020-05-11,29.889999389648438
2020-05-12,26.56999969482422
2020-05-13,24.799999237060547
2020-05-14,24.93000030517578
2020-05-15,27.670000076293945
2020-05-18,27.329999923706055
2020-05-19,26.389999389648438
2020-05-20,27.579999923706055
2020-05-21,26.110000610351562
2020-05-22,26.0
2020-05-26,26.100000381469727
2020-05-27,26.0
2020-05-28,25.329999923706055
2020-05-29,25.760000228881836
2020-06-01,24.3700008392334
2020-06-02,23.489999771118164
2020-06-03,24.790000915527344
2020-06-04,23.450000762939453
2020-06-05,22.829999923706055
2020-06-08,22.260000228881836
2020-06-09,23.399999618530273
2020-06-10,26.65999984741211
2020-06-11,24.969999313354492
2020-06-12,24.270000457763672
2020-06-15,25.8700008392334
2020-06-16,25.65999984741211
2020-06-17,24.709999084472656
2020-06-18,25.09000015258789
2020-06-19,23.0
2020-06-22,24.290000915527344
2020-06-23,23.309999465942383
2020-06-24,22.8700008392334
2020-06-25,22.924999237060547
2020-06-26,21.25
2020-06-29,19.969999313354492
2020-06-30,19.93000030517578
2020-07-01,28.170000076293945
2020-07-02,27.600000381469727
2020-07-06,26.479999542236328
2020-07-07,33.04999923706055
2020-07-08,30.959999084472656
2020-07-09,33.08000183105469
2020-07-10,32.220001220703125
2020-07-13,31.75
2020-07-14,31.1200008392334
2020-07-15,32.290000915527344
2020-07-16,32.220001220703125
2020-07-17,32.5
2020-07-20,34.84000015258789
2020-07-21,34.84000015258789
2020-07-22,33.13999938964844
2020-07-23,32.779998779296875
2020-07-24,31.670000076293945
2020-07-27,31.510000228881836
2020-07-28,31.31999969482422
2020-07-29,28.770000457763672
2020-07-30,29.09000015258789
2020-07-31,30.3799991607666
2020-08-03,30.540000915527344
2020-08-04,31.440000534057617
2020-08-05,32.0
2020-08-06,30.010000228881836
2020-08-07,31.25
2020-08-10,31.639999389648438
2020-08-11,30.209999084472656
2020-08-12,29.690000534057617
2020-08-13,30.75
2020-08-14,30.170000076293945
2020-08-17,31.75
2020-08-18,33.81999969482422
2020-08-19,34.68000030517578
2020-08-20,33.79999923706055
2020-08-21,33.47999954223633
2020-08-24,35.66999816894531
2020-08-25,37.16999816894531
2020-08-26,37.880001068115234
2020-08-27,37.619998931884766
2020-08-28,38.25
2020-08-31,38.5
2020-09-01,38.5099983215332
2020-09-02,38.81999969482422
2020-09-03,37.2400016784668
2020-09-04,36.81999969482422
2020-09-08,35.04999923706055
2020-09-09,36.790000915527344
2020-09-10,35.61000061035156
2020-09-11,34.560001373291016
2020-09-14,36.75
2020-09-15,30.440000534057617
2020-09-16,29.190000534057617
2020-09-17,24.889999389648438
2020-09-18,25.530000686645508
2020-09-21,25.0
2020-09-22,25.25
2020-09-23,24.34000015258789
2020-09-24,24.420000076293945
2020-09-25,25.360000610351562
2020-09-28,24.690000534057617
2020-09-29,24.940000534057617
2020-09-30,25.65999984741211
2020-10-01,25.209999084472656
2020-10-02,25.75
2020-10-05,25.56999969482422
2020-10-06,23.790000915527344
2020-10-07,24.719999313354492
2020-10-08,24.600000381469727
2020-10-09,24.100000381469727
2020-10-12,23.829999923706055
2020-10-13,23.950000762939453
2020-10-14,23.899999618530273
2020-10-15,23.639999389648438
2020-10-16,23.729999542236328
2020-10-19,25.229999542236328
2020-10-20,23.899999618530273
2020-10-21,23.68000030517578
2020-10-22,24.459999084472656
2020-10-23,24.43000030517578
2020-10-26,24.329999923706055
2020-10-27,24.59000015258789
2020-10-28,24.020000457763672
2020-10-29,24.1200008392334
2020-10-30,23.15999984741211
2020-11-02,23.290000915527344
2020-11-03,23.579999923706055
2020-11-04,24.920000076293945
2020-11-05,24.719999313354492
2020-11-06,24.68000030517578
2020-11-09,24.989999771118164
2020-11-10,24.299999237060547
2020-11-11,24.790000915527344
2020-11-12,25.079999923706055
2020-11-13,26.8799991607666
