Date,ADPT
2019-06-27,40.29999923706055
2019-06-28,48.29999923706055
2019-07-01,40.099998474121094
2019-07-02,38.88999938964844
2019-07-03,39.15999984741211
2019-07-05,40.5099983215332
2019-07-08,37.5099983215332
2019-07-09,37.0
2019-07-10,37.70000076293945
2019-07-11,37.63999938964844
2019-07-12,39.0
2019-07-15,38.13999938964844
2019-07-16,38.650001525878906
2019-07-17,38.09000015258789
2019-07-18,38.0099983215332
2019-07-19,38.529998779296875
2019-07-22,39.27000045776367
2019-07-23,40.380001068115234
2019-07-24,40.380001068115234
2019-07-25,40.209999084472656
2019-07-26,39.66999816894531
2019-07-29,37.7599983215332
2019-07-30,36.900001525878906
2019-07-31,38.54999923706055
2019-08-01,38.630001068115234
2019-08-02,37.33000183105469
2019-08-05,35.119998931884766
2019-08-06,36.380001068115234
2019-08-07,38.9900016784668
2019-08-08,39.70000076293945
2019-08-09,41.630001068115234
2019-08-12,42.0099983215332
2019-08-13,43.08000183105469
2019-08-14,43.4900016784668
2019-08-15,47.810001373291016
2019-08-16,46.099998474121094
2019-08-19,46.08000183105469
2019-08-20,45.040000915527344
2019-08-21,46.93000030517578
2019-08-22,45.869998931884766
2019-08-23,43.11000061035156
2019-08-26,44.189998626708984
2019-08-27,44.4900016784668
2019-08-28,47.41999816894531
2019-08-29,50.11000061035156
2019-08-30,50.849998474121094
2019-09-03,51.33000183105469
2019-09-04,53.5099983215332
2019-09-05,44.599998474121094
2019-09-06,43.83000183105469
2019-09-09,39.47999954223633
2019-09-10,41.27000045776367
2019-09-11,41.7599983215332
2019-09-12,39.7599983215332
2019-09-13,43.20000076293945
2019-09-16,41.529998779296875
2019-09-17,40.349998474121094
2019-09-18,39.59000015258789
2019-09-19,39.02000045776367
2019-09-20,40.20000076293945
2019-09-23,40.529998779296875
2019-09-24,37.380001068115234
2019-09-25,34.959999084472656
2019-09-26,32.189998626708984
2019-09-27,30.309999465942383
2019-09-30,30.899999618530273
2019-10-01,30.1200008392334
2019-10-02,29.950000762939453
2019-10-03,30.90999984741211
2019-10-04,31.639999389648438
2019-10-07,32.79999923706055
2019-10-08,29.600000381469727
2019-10-09,28.899999618530273
2019-10-10,28.700000762939453
2019-10-11,27.540000915527344
2019-10-14,27.1299991607666
2019-10-15,29.889999389648438
2019-10-16,30.1299991607666
2019-10-17,31.020000457763672
2019-10-18,29.270000457763672
2019-10-21,26.3799991607666
2019-10-22,25.510000228881836
2019-10-23,24.559999465942383
2019-10-24,26.0
2019-10-25,25.6200008392334
2019-10-28,26.09000015258789
2019-10-29,26.200000762939453
2019-10-30,26.079999923706055
2019-10-31,26.065000534057617
2019-11-01,28.100000381469727
2019-11-04,30.459999084472656
2019-11-05,28.0049991607666
2019-11-06,26.780000686645508
2019-11-07,26.6299991607666
2019-11-08,27.59000015258789
2019-11-11,28.31999969482422
2019-11-12,28.350000381469727
2019-11-13,27.270000457763672
2019-11-14,27.290000915527344
2019-11-15,28.510000228881836
2019-11-18,30.139999389648438
2019-11-19,28.850000381469727
2019-11-20,28.75
2019-11-21,27.860000610351562
2019-11-22,28.639999389648438
2019-11-25,29.719999313354492
2019-11-26,28.149999618530273
2019-11-27,27.829999923706055
2019-11-29,27.190000534057617
2019-12-02,27.5
2019-12-03,26.969999313354492
2019-12-04,27.170000076293945
2019-12-05,29.350000381469727
2019-12-06,29.059999465942383
2019-12-09,29.290000915527344
2019-12-10,28.690000534057617
2019-12-11,30.31999969482422
2019-12-12,31.670000076293945
2019-12-13,30.200000762939453
2019-12-16,30.209999084472656
2019-12-17,29.350000381469727
2019-12-18,30.950000762939453
2019-12-19,30.239999771118164
2019-12-20,32.41999816894531
2019-12-23,32.13999938964844
2019-12-24,30.0
2019-12-26,29.6200008392334
2019-12-27,29.270000457763672
2019-12-30,28.950000762939453
2019-12-31,29.920000076293945
2020-01-02,29.3700008392334
2020-01-03,29.799999237060547
2020-01-06,29.600000381469727
2020-01-07,29.639999389648438
2020-01-08,29.989999771118164
2020-01-09,30.040000915527344
2020-01-10,29.850000381469727
2020-01-13,29.90999984741211
2020-01-14,29.190000534057617
2020-01-15,29.610000610351562
2020-01-16,27.3700008392334
2020-01-17,28.209999084472656
2020-01-21,26.799999237060547
2020-01-22,27.190000534057617
2020-01-23,26.850000381469727
2020-01-24,30.549999237060547
2020-01-27,30.459999084472656
2020-01-28,31.09000015258789
2020-01-29,30.940000534057617
2020-01-30,30.829999923706055
2020-01-31,29.905000686645508
2020-02-03,30.0
2020-02-04,29.389999389648438
2020-02-05,30.079999923706055
2020-02-06,31.469999313354492
2020-02-07,32.31999969482422
2020-02-10,31.329999923706055
2020-02-11,31.450000762939453
2020-02-12,31.389999389648438
2020-02-13,31.709999084472656
2020-02-14,31.469999313354492
2020-02-18,31.75
2020-02-19,33.52000045776367
2020-02-20,33.79999923706055
2020-02-21,34.15999984741211
2020-02-24,30.829999923706055
2020-02-25,30.0
2020-02-26,29.649999618530273
2020-02-27,28.31999969482422
2020-02-28,28.100000381469727
2020-03-02,26.799999237060547
2020-03-03,25.719999313354492
2020-03-04,28.719999313354492
2020-03-05,27.520000457763672
2020-03-06,27.040000915527344
2020-03-09,24.600000381469727
2020-03-10,24.969999313354492
2020-03-11,21.520000457763672
2020-03-12,17.68000030517578
2020-03-13,19.700000762939453
2020-03-16,16.959999084472656
2020-03-17,18.010000228881836
2020-03-18,18.729999542236328
2020-03-19,22.549999237060547
2020-03-20,22.93000030517578
2020-03-23,22.65999984741211
2020-03-24,23.59000015258789
2020-03-25,25.290000915527344
2020-03-26,26.18000030517578
2020-03-27,25.3799991607666
2020-03-30,27.1200008392334
2020-03-31,27.780000686645508
2020-04-01,27.510000228881836
