Date,CWK
2018-08-02,17.809999465942383
2018-08-03,18.549999237060547
2018-08-06,18.5
2018-08-07,18.360000610351562
2018-08-08,18.1299991607666
2018-08-09,18.219999313354492
2018-08-10,18.0
2018-08-13,17.90999984741211
2018-08-14,18.010000228881836
2018-08-15,17.6200008392334
2018-08-16,17.469999313354492
2018-08-17,17.84000015258789
2018-08-20,17.850000381469727
2018-08-21,17.81999969482422
2018-08-22,17.479999542236328
2018-08-23,17.549999237060547
2018-08-24,17.649999618530273
2018-08-27,17.84000015258789
2018-08-28,18.0
2018-08-29,17.81999969482422
2018-08-30,17.75
2018-08-31,17.65999984741211
2018-09-04,17.549999237060547
2018-09-05,17.559999465942383
2018-09-06,18.030000686645508
2018-09-07,17.940000534057617
2018-09-10,18.299999237060547
2018-09-11,18.59000015258789
2018-09-12,18.389999389648438
2018-09-13,18.09000015258789
2018-09-14,18.030000686645508
2018-09-17,17.799999237060547
2018-09-18,17.940000534057617
2018-09-19,17.6299991607666
2018-09-20,18.0
2018-09-21,18.0
2018-09-24,17.989999771118164
2018-09-25,17.559999465942383
2018-09-26,17.469999313354492
2018-09-27,17.049999237060547
2018-09-28,16.989999771118164
2018-10-01,16.860000610351562
2018-10-02,16.530000686645508
2018-10-03,16.3799991607666
2018-10-04,16.670000076293945
2018-10-05,16.549999237060547
2018-10-08,16.3700008392334
2018-10-09,16.290000915527344
2018-10-10,15.319999694824219
2018-10-11,15.5
2018-10-12,15.880000114440918
2018-10-15,16.190000534057617
2018-10-16,16.5
2018-10-17,16.329999923706055
2018-10-18,16.040000915527344
2018-10-19,15.989999771118164
2018-10-22,15.84000015258789
2018-10-23,15.600000381469727
2018-10-24,15.5600004196167
2018-10-25,16.1299991607666
2018-10-26,16.040000915527344
2018-10-29,15.880000114440918
2018-10-30,16.049999237060547
2018-10-31,16.260000228881836
2018-11-01,16.399999618530273
2018-11-02,16.440000534057617
2018-11-05,16.450000762939453
2018-11-06,17.079999923706055
2018-11-07,17.450000762939453
2018-11-08,17.760000228881836
2018-11-09,17.700000762939453
2018-11-12,16.479999542236328
2018-11-13,16.850000381469727
2018-11-14,18.649999618530273
2018-11-15,18.290000915527344
2018-11-16,18.299999237060547
2018-11-19,18.260000228881836
2018-11-20,17.56999969482422
2018-11-21,17.8799991607666
2018-11-23,18.1200008392334
2018-11-26,18.170000076293945
2018-11-27,18.149999618530273
2018-11-28,18.350000381469727
2018-11-29,18.579999923706055
2018-11-30,18.6200008392334
2018-12-03,19.0
2018-12-04,18.3799991607666
2018-12-06,18.200000762939453
2018-12-07,18.149999618530273
2018-12-10,17.889999389648438
2018-12-11,17.93000030517578
2018-12-12,17.579999923706055
2018-12-13,17.15999984741211
2018-12-14,16.610000610351562
2018-12-17,16.09000015258789
2018-12-18,16.200000762939453
2018-12-19,15.6899995803833
2018-12-20,14.890000343322754
2018-12-21,14.449999809265137
2018-12-24,13.449999809265137
2018-12-26,13.800000190734863
2018-12-27,14.25
2018-12-28,14.319999694824219
2018-12-31,14.470000267028809
2019-01-02,14.529999732971191
2019-01-03,14.1899995803833
2019-01-04,14.25
2019-01-07,14.15999984741211
2019-01-08,15.210000038146973
2019-01-09,15.289999961853027
2019-01-10,15.4399995803833
2019-01-11,15.59000015258789
2019-01-14,15.920000076293945
2019-01-15,15.90999984741211
2019-01-16,16.299999237060547
2019-01-17,16.860000610351562
2019-01-18,16.770000457763672
2019-01-22,16.31999969482422
2019-01-23,16.0
2019-01-24,15.979999542236328
2019-01-25,16.18000030517578
2019-01-28,15.579999923706055
2019-01-29,15.979999542236328
2019-01-30,16.190000534057617
2019-01-31,17.239999771118164
2019-02-01,16.940000534057617
2019-02-04,17.020000457763672
2019-02-05,17.360000610351562
2019-02-06,17.290000915527344
2019-02-07,17.399999618530273
2019-02-08,17.360000610351562
2019-02-11,17.610000610351562
2019-02-12,18.110000610351562
2019-02-13,18.770000457763672
2019-02-14,18.309999465942383
2019-02-15,17.940000534057617
2019-02-19,17.950000762939453
2019-02-20,18.270000457763672
2019-02-21,18.520000457763672
2019-02-22,18.690000534057617
2019-02-25,18.479999542236328
2019-02-26,18.399999618530273
2019-02-27,18.8799991607666
2019-02-28,18.329999923706055
2019-03-01,18.610000610351562
2019-03-04,18.959999084472656
2019-03-05,18.809999465942383
2019-03-06,18.399999618530273
2019-03-07,17.850000381469727
2019-03-08,17.8799991607666
2019-03-11,18.06999969482422
2019-03-12,18.06999969482422
2019-03-13,18.420000076293945
2019-03-14,18.530000686645508
2019-03-15,18.5
2019-03-18,17.729999542236328
2019-03-19,17.790000915527344
2019-03-20,17.510000228881836
2019-03-21,18.06999969482422
2019-03-22,17.75
2019-03-25,17.809999465942383
2019-03-26,17.889999389648438
2019-03-27,17.690000534057617
2019-03-28,17.75
2019-03-29,17.799999237060547
2019-04-01,18.020000457763672
2019-04-02,17.989999771118164
2019-04-03,18.15999984741211
2019-04-04,18.43000030517578
